| OTOMRO   |UNIVERSE| INPUTS                                                               =>    OUTPUTS                                                                            | NRG USED   | REACTION TYPE                | CHEMIST WALLET                             | initateReaction() TX HASH                                          | analyseReactions() TX HASH                                         |
|    37420*|bohr    |  Cl-27∙ +  Cl-27∙                                         +     5000 =>   Ux-54                                                                  +    2609.47 |    2390.53 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0x7651bc7216c2ea990ae3110012c9f111e57e8633715e6ca26f6768732c80c45f | 0xf3ca33415437ecea4d6974f784e778458aeed56560aef1fb7c448e98da3f23d8 |
|    37422*|bohr    |   T-17∙ +  Eb-19⁺                                         +      873 => ⬇ T-17 + Xj-19                                                           +     829.35 |      43.65 | decay                        | 0xa4ac3321fd639a7e2b53da62897955d920c97012 | 0x8f2046efe957c65c197b30f044b2472465a2b4dacd0189bf7555dd00ff214320 | 0x89239a1ef0fc6710c10e9f394ca5e5df2e471c75c964ffe631f9cad6c171b122 |
|    37424*|bohr    |   Sr-1∙ +  Mt-35∙                                         +     1600 =>   Lu-36                                                                  +     694.80 |     905.20 | nuclear                      | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0x9f076cc8feb5e57fd0fdbd94496cdc49f6ba4f05363245ef200b61c7c5f69e2b | 0xa8d9520629c973d67bdaca2256647906892f1ae8de91f83f565d478d9738574e |
|    37425*|bohr    |  Cl-26ª +  Cl-27∙                                         +     5000 =>   Ux-53                                                                  +    3153.13 |    1846.87 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0x1902213c38ce07a7609c5db435bd6b1e1926fa239efa310f2307502767e63dc3 | 0x665f6f97961d1825c48e4b5fb32d326fbf8d2b21098fdd587adee76e0f62854f |
|    37426 |bohr    |   T-17∙ +  Xj-17⁺ +  Yv-72ª                               +       30 =>   ?                                                                      +          ? |          ? | ?                            | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 |                                                                  ? | 0x6a13c51c45a91a2fc8c76897b739406046e60f3ea54f9c6da5110f832975425a |
|    37429*|bohr    |   T-15⁺ +   T-16∙                                         +     5000 =>   K-31                                                                   +    3931.91 |    1068.09 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0x5c1c04b2853ac5f926d91eb2d2d3def832811afa528eb39b592ea1abc232b6e5 | 0x067cf0c2e186bbb7856e8b96ef83ba0b6bf9e2562caeaf3d17dc29727207fe36 |
|    37432*|bohr    |  Ro-24ª +   L-51⁺                                         +     5000 =>   Iu-75                                                                  +    2994.84 |    2005.16 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0xabf242e8b9eca7f187577f8057e66bf6a0019c751e8948af8308165026a98bd7 | 0x40f2fb2c187ea83899628294d52e5a069f51e83d6857dedf429db917c4ec6e10 |
|    37434 |bohr    |   Ei-4∙ +  Cl-27∙ +  Nd-30ª +  S-102ª                     +      110 =>   ?                                                                      +          ? |          ? | ?                            | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 |                                                                  ? | 0xd71d20c09c661f5352fb4c21eb8eb207b5248d048135d0c5d62307b2401ed2b7 |
|    37435*|bohr    |   As-6∙ +   K-34∙                                         +      700 =>   As-6 + K-34                                                            +     665.00 |      35.00 | none                         | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0x765cd0ca3518eefa0dba2e59433fcc5181686890552229eaa7eb73b5e00ce7cf | 0x27f9c0482b39b00dfb33a3b6ed23b33fa6d5b1ddb8247136dbee1a884d5dfa20 |
|    37436*|bohr    |   T-16∙ +  Ro-23ª                                         +      829 =>   Sr-1 + T-16 + P-22                                                     +     787.55 |      41.45 | decay                        | 0xa4ac3321fd639a7e2b53da62897955d920c97012 | 0x81f829dea869ce889b85b6d365d21438f5d87ac3936e70678050bc9ca0ffcaaf | 0xca576dc3a522cd22ba4e9ce33f1a650a88c979b194742cc9e448be4d450dc42a |
|    37440*|bohr    |   Sr-2∙ +  Eb-20∙ +  Ro-22⁺ +  Ro-25∙ +  Mt-35∙           +      100 => ⬇ P-22 + MtEb(Mt-35>Eb-20) + SrRo(Ro-25,Sr-2>)                           +      44.92 |      55.08 | metallic, chemical, decay    | 0xf6e39aed488043217d58d875ec83c597da844500 | 0xefe7a53c20c8775ae95a97773f5ecf587fe41396be31fe57b8f6c349ceb11b7a | 0x7da4196a67f0f5b6dc0a37ab152d36b83d29ddd1a8855d5e63d9cc42f55422e5 |
|    37441*|bohr    |   As-6∙ +  Ro-22⁺                                         +       10 => ⬇ As-6 + P-22                                                            +       9.50 |       0.50 | decay                        | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 | 0x0a486cc9ad2772a9bc30a82e692788cf011f9fcf74f87c3e5ef899895a3d8836 | 0x26cec1185039f6ca639a3b257e3d8fcbb3d1d4092e57e2f2b2c3e6208f638ba3 |
|    37442*|bohr    |  Ro-24ª +  Uq-47⁻                                         +        5 =>   Ro-24 + Uq-47                                                          +       4.75 |       0.25 | none                         | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 | 0xdc4b8a062e7932d91d6051112564547c0bbca45b4182d9a8751d2bfdd498ec15 | 0x26cec1185039f6ca639a3b257e3d8fcbb3d1d4092e57e2f2b2c3e6208f638ba3 |
|    37443*|bohr    |  Xj-18∙ +  Eb-21∙                                         +     1706 =>   Dx-39                                                                  +     247.25 |    1458.75 | nuclear                      | 0xa4ac3321fd639a7e2b53da62897955d920c97012 | 0xd28ec024b2bf319a4ad67eb715229d2ed45c60a1f4a6191777b7dde23867d53c | 0x511afd55a3e88704bbd0888abc05872d41d1b7452dbeb5da975feda085304f74 |
|    37444*|bohr    |   Sr-1∙ +   As-7∙ +  Ct-15∙ +   P-22⁺ +  Kk-71ª           +      100 => ⬇ As-7 + Ct-15 + Eb-22 + SrKk(Kk-71,Sr-1>)                               +      31.13 |      68.87 | metallic, decay              | 0xf6e39aed488043217d58d875ec83c597da844500 | 0xc9758efc3c7a905a5543dfa1dc9233d0bc3c10873ac5785e0f802db2fe762284 | 0x049361ccad1d61605f44eab872c8d7828b70cfd6d8f4eba6461d426a0897524c |
|    37445*|bohr    |   Sr-1∙ +  Ct-17⁻ +  Eb-21∙ +  Cl-26ª +  Kk-70ª           +      300 =>   Sr-1 + KkEbClCt(Kk-70>Cl-26,Ct-17,Eb-21)                               +     222.22 |      77.78 | chemical                     | 0x74f3cb26c4b5e3ce324c55b0e5f890129d63e28b | 0xb98b23593d7dda0f9918bf23c503364efc22c48ad197cda6eb3b64c95a478ae4 | 0xdf83e5435ed6b4f64bfcb7ee2f3674696e61fd0808a8ea3125840b2fff245388 |
|    37446*|bohr    |  Eb-20∙ +   P-23∙ +  Yu-27⁺ +  Uq-47⁻ +  Kk-70ª           +       50 => ⬇ Eb-20 + P-23 + Cl-27 + Uq-47 + Kk-70                                   +      47.50 |       2.50 | decay                        | 0xf6e39aed488043217d58d875ec83c597da844500 | 0x2031a5c3ab6870bbaef7f5be434cef1fe1340cf272b9f51d6fadd06dbe82f071 | 0x9006b85d3cd842a9642dbe0502f03f3faa8d552b0857cd21441ef05b97b39120 |
